SL. ,Comment,Hate,Type
1333,Manoshik rugi,Yes,Others
1334,Bangladesh theke ber kore deoyal dorkar khankider poribesh nosto kortece ora,Yes,Others
1335,Bedi ta re maira ai labi boin..gola ta char ekto. Tor b day dkha. Amr b day name ai amii vule gsi...,No,Not Hate
1336,Piche to dekho shob che boro behaiya oi picher ta Lal top ali ,Yes,Appearance
1337,buski magi,Yes,Sexual
1338,Manush er paribarik sikkha ta khub besi important or moddhe tar cita fotau ney,Yes,Others
1339,Pori agea jao Tumi best of luck,No,Not Hate
1340,"C c c....pori akon posak porasa...mona hocsa luggi pora lagti korasa.,",Yes,Appearance
1341,Jebon  Tu motamote  are beshedin  nai apnar. Teamfar  Shashi.  Are koyek din pore.( Pore moni ) Tomar  obosta kmn Hoi  neja dekben,No,Not Hate
1342,Nanajan niz choke aigulo dheke khub Khushi hosse.Uni toh Abar mastor Chilen.,Yes,Others
1343,Takani customer khujse asob kore,Yes,Others
1344,koto kosto kore jel theke beriye elo Abar se Asole sobab tai ki eyrokom?,Yes,Others
1345,Magi dekih desh tare urof àmerica banai feltase .. oi mohila k desh theke Tara Tari bitarito kora hok. Na hole or dekah dekih jobusomaj odupotone Jabe.. sorkarer dristy akorson korchi,Yes,Others
1346,ja vabe r earm shai vabe e khoroj hoi,No,Not Hate
1347,Ara Manus namar kolonk o,Yes,Others
1348,monta chashche dhore akdom ischa motho thaprai,Yes,Others
1349,Somoar dam jader nae tarae agula dakha,No,Not Hate
1350,daraitei partesena thik moto atto nesa korse ,Yes,Others
1351,Ai pola gulore ki vara kore ana hoice,No,Not Hate
1352,Amar pokho thaka Or lungta dhora  kaw tan daw to ,Yes,Sexual
1353,Or jommodin a jara gachelo orau pagol  abong gidor chara ar kichui bolajabe na. Nosta akta meye,Yes,Sexual
1354,Porir paser mey tar dud gula ektu besiy choto mone hoccee,Yes,Sexual
1355,"Purai mental, ei nirlojjo mohila tar birthday kara sponsor kore..???? Bikargrostho…. Just obnoxious…!!!",Yes,Others
1356,Pinik aktu besi hoya gacha… sona kata porir….,Yes,Others
1357,Khankir Power Baira Gese...,Yes,Others
1358,Sorkar.aigola.valomonokora.taikortparasokart.nastiek,Yes,Religious
1359,"Kanki koi botle mal kaisos ,hsinar meye ,tore je kankir bassara caraice eder ma bon o jeno emon e hoi",Yes,Sexual
1360,"Nije to nosto meye, jatikew nosto krte chay",Yes,Others
1361,Ki obosta Bangladesh k nosto kore dichhe ,No,Not Hate
1362,Soytaner Nani,Yes,Others
1363,Ato kichur poreo biadop tar shikha  holona,Yes,Others
1364,Pasher ta ki uganda theke asche??eke sefu dar kache parcel kora hok ,Yes,Appearance
1365,Nana ta nirloj abar tupi pore boses,Yes,Appearance
1366,Bodhooooo pagol hoile jha hoi r ki ,Yes,Others
1367,Beshi niye felecho! Camera r shamne ashar ki dorkar chilo,No,Not Hate
1368,market pabena bubu ei natok kore,Yes,Others
1369,Soytan akon soytani care adar soytani dakhe,Yes,Others
1370,Eike ei des theke ber kore deye ochit ,Yes,Others
1371,jei puros akane ace salara sob locca,Yes,Others
1372,Toderki voy nai moroner. Toder ontor mohor mere rehkesen.,No,Not Hate
1373,Porimoni to pagol hoi geche..........,Yes,Others
1374,"oi to aka soytan noy soytan,,, or sather gulao,,, ata ki re vai mone hoy ami pagoler,,, mela",Yes,Others
1375,Banglades koto tuku odopoton hoise ai tar proman,No,Not Hate
1376,Age half mad cilo ekn full mad Hoye gace,Yes,Others
1377,Birthday te lunggi porte hoy ? Seta na jana ami !!,Yes,Appearance
1378,Kasa diye lungi porte mon cailo,No,Not Hate
1379,Mot khabi kha tai boila  ato ,Yes,Others
1380,oi maye tar dud ber hoye gelo re,Yes,Sexual
1381,Pura pinik a ace chutiya ceriday ,Yes,Slang
1382,Paser dudu to ber hoye jesse,Yes,Sexual
1383,Bandor posroy dile amontai hoy,Yes,Others
1384,maiya manuse eto mod kay ta porimoni caci ke deke bujlam ,Yes,Others
1385,Khankra video propose Puri Man Ki photopea Bangla,Yes,Others
1386,Or dress up ar moto or manosikota hoye gase,Yes,Appearance
1387,Asolai Pori ki korbo.Or Sex onak bashe..Tai or sojjo korar moto khomota nai?,Yes,Sexual
1388,ci meye .ei to meye na...ci eta k meye bolte ghrrina kore,Yes,Others
1389,Kasi pora diye dag dile thik hoye jabe.,No,Not Hate
1390,Sobar cheye baje naika porimoni,Yes,Others
1391,Jel theke ase ki pagol hoe gelo dukhe koste lojjae,Yes,Others
1392,Baje meye osubbo akta,Yes,Others
1393,toder Jonno porimonir je lunggi ta porches seta kinmu,No,Not Hate
1394,Mal khay ar soril naray,Yes,Others
1395,Nesha Kore Amon korlo pori ...,Yes,Others
1396,Dod gloa bidaler mto lage,Yes,Sexual
1397,Amader desh a pagol chodar mela bosce,Yes,Slang
1398,Traveller bus ki Purnima Gita Diya Rasta Rasta rikshawala pori Moni bus ki Maggi,Yes,Sexual
1399,Falto akta meye..,Yes,Others
1400,noton tk poisha dekseto,Yes,Others
1401,Aj kal shanbadik ra rastar kottar moto hoye gece.. Eishob magir kace giye news ken kore ami janina tader ki er kon kaj kam nai naki...eishob news o na news er bal o na...,Yes,Racial
1402,Tomar bodar ret to potitar ceye kom kanki,Yes,Sexual
1403,Apni to matal hoye achen madam,Yes,Others
1404,Harmjadi manus hoybo na,Yes,Others
1405,lal vodar pise,Yes,Sexual
1406,R kono posak paili na,Yes,Appearance
1407,Banglar mage,Yes,Sexual
1408,Ami ja Dekhi tumra ki ta e Dekho ,No,Not Hate
1409,Jony Sins ree dorkar,Yes,Sexual
1410,Magae code,Yes,Sexual
1411,hot meye,Yes,Sexual
1412,Doylotdiar noti,Yes,Sexual
1413,Se somaj ta dongso kore pelbe,Yes,Others
1414,khankir sathe khankimagir. polara,Yes,Others
1415,nosto reporter,Yes,Racial
1416,Ara hocce lawarisg beissha lojja sorom  bolte agulor kiso nai ,Yes,Sexual
1417,Modoner bacca,Yes,Slang
1418,Mane ata kon dhoroner style Salar Behaya,Yes,Appearance
1419,Mod  khaise soytan,Yes,Others
1420,Are mane tume bolta casso. Ja tume khub valo. Na motoyea valo meya na.ok,Yes,Others
1421,tora desh take lotir rajje porenote kirsis,Yes,Others
1422,Ekta boioshko mohilar shathe keu emn achoron kore,No,Not Hate
1423,Ajke aikan ar onk ai tired takbe cz onk gulur upr cake diye hat vuleye dice apu,Yes,Others
1424,Sangbadik ta bina dawate gese halago lojja nai,Yes,Racial
1425,Apni o to kacer manus ekjon apnake dekhailo na kn...!!,No,Not Hate
1426,Cc.c.c.c  arokom kkhono dekheni.,No,Not Hate
1427,Dudh gula ber kore rakhchis ken?,Yes,Sexual
1428,Mental akta meye ,Yes,Others
1429,Khankir pulara abar Allah r namnes,Yes,Slang
1430,Baba ato taka koi paye.......,No,Not Hate
1431,Bura salay oi jaygay ki kore ,Yes,Others
1432,Pashar cale goli er mal bar hocce,Yes,Sexual
1433,Sefoda koi ata ki akno dekheni,No,Not Hate
1434,Botkalab Jao porimoni kanki,Yes,Sexual
1435,Lojja sorom akdom ney ai mayyer,Yes,Others
1436,Tomi vul korso porimoni.....,No,Not Hate
1437,Tv gula kono news pai na abal,Yes,Racial
1438,Murkho choda tui sali,Yes,Slang
1439,Hayre behaiya pona,Yes,Others
1440,"Nortuki sara valora ki amon korte pare,,cici",Yes,Others
1441,Ai nodire dekhle bomi ashe,Yes,Appearance
1442,Deho bebsha,Yes,Sexual
1443,Tomy kokon gab detea hobea seyta o ganea....,Yes,Sexual
1444,mama tor kaser lok dance dicce dekh,No,Not Hate
1445,Lotir je kaj setai korce se banga gali,Yes,Others
1446,Bedop mohila kuno lojja nei,Yes,Others
1447,mama apnar name bollo na to,No,Not Hate
1448,Baje video bondo korun,No,Not Hate
1449,dekh ekhane oi meye ta ase,No,Not Hate
1450,tui Muslim er nam e kolonko,Yes,Religious
1451,Tor rimand newa kom hoice aro dulai ar dorkar cilo .  K jani police kaw  nice tola vara dicili ki n a,Yes,Others
1452,Porimonir pisoner Malta khub darun,Yes,Sexual
1453,"Ei kon osobho,meye.",Yes,Others
1454,Khankey magey,Yes,Slang
1455,"khanki dekhechi,,,kintu ei rokom khanki jibone dekhini",Yes,Slang
1456,magir hedar moddhe j ki jala,Yes,Sexual
1457,tui love react des keno?,No,Not Hate
1458,magire hatir lolmba dhon diye choda dorkar,Yes,Sexual
1459,Juta   marlam    togo   mukhy,Yes,Others
1460,tomake kutta chode,Yes,Sexual
1461,O holo ke janen...kau janen na...ami.....jani....f d  c r  kolonkoni,Yes,Sexual
1462,mage ekta janowar,Yes,Others
1463,comment gula nach tar thekeo beshi ajob. ,No,Not Hate
1464,manush kotota lifeless hoy...amar jonmodine ami nengta hoye rastay ashbo bhai kar ki,Yes,Sexual
1465,Okeo taslima nasrin er moto ber kore dibe desh theke,Yes,Others
1466,Osovvo akta.nirlojjo r faltu akta seri,Yes,Others
1467,"nana par kore niyee jabe,Allah knows better",No,Not Hate
1468,r jkn varot er bessha naiya der dkho  ora kub  vlo..j ja kore korte dau.nije vlo thko. Ok,Yes,Racial
1469,Hetir goyai moris dte hobee haa,Yes,Sexual
1470,Tui varot e ja ga othoba tor bon k dea avabe dance kora. Amra dekhbone.,Yes,Others
1471,"Kothay sabana bobita r koborir Moto guni shilpyra r kothay o,industry esob kivabe mene  nicce, bideshi canel bndo krce ki asob dekhar jonno,egulote ki Bangla shagickritir kono cinho ace,egulo o bideshi canel er theke Kom na",Yes,Others
1472,akhn chinlen Apu .......... Jale Ak bar cecha khaice ...Aber j Kobe jabe oi hotels girls ta ,Yes,Others
1473,Akbar nak katle jonggole r satbar nak katle ghorer duare.Or satbar nak kata hoya gase.Or dui chokha r kono lojja nai.Muslim dasha aei meya ke nisiddho kora hok.Amader vabte obak lage akta meya ki vabe pare arokom korte sobar samne.,Yes,Others
1474,tik bolesen.nirlojjo osobbo kare bole ai biadob ta re dekle boja jay.er ki kono lojja sorom ne.,Yes,Others
1475,Ai rokom bou er dorkar nai.,No,Not Hate
1476,"ekdom thik bolesen, sob socheton nagorik der er protibad janano uchit.",No,Not Hate
1477,Pori monir oporadh sha kano jail theke ber hoyeo birthday palon kortese and kapor khule dance korche. R edeshe motolobbaj loke ra duniyar akam kore jacche Tate kono oporadh nai!! Sob oporadh sudhu porimonir,No,Not Hate
1478,pori monir oporadh ta ki?,No,Not Hate
1479,jonmodin e ki korbe eta tumi bole diba?,No,Not Hate
1480,"jell a giye 10000 betar chuda kheye ber hoise,  or jonno aisob kicchu na.",Yes,Sexual
1481,sodo eaba na sobgola e akto basi nisa,Yes,Others
1482,"desh thakey taraben keno ata ki tar desh noi, Islami sharia holey shob shuja hoey jabe.",No,Not Hate
1483,Behaiya akta...lojja to naiyee..eidare bd theke ber kore dei na kn,Yes,Others
1484,Abr mod khaise re ,Yes,Others
1485,Remand e mair khaiya mone hoi pagol hoye gece. ,Yes,Others
1486,Ami bujhina ato gula manush er moddhe karo aktu mathay aslona j ore aktu pabna nite hobe ???? Or sathe ki sobai pagol hoye geche??,Yes,Others
1487,ami toh vabci diaper porcy ,Yes,Appearance
1488,api tiki bolco or sate shobai pagol hoye gece,Yes,Others
1489,Khaccor mohila akta eigulao manus dekhe manyser rucibodh kharap dekhei or moto mohila akhono tike ace,Yes,Others
1490,moja lage meaer. O meaer hingsa dekhe...hahahaha,No,Not Hate
1491,Urchhikhol R beyadob tiper meye ,Yes,Others
1492,Ata abar ki rokom nach.....amar friend ra ar teke besi balo nachte pare..Mone hoi uni manosik babe osustw hoye gese......ake to jwtw drutw sombob mental hospital a patano uchit....,Yes,Others
1493,Dim therapy kheye ooo vut chotlo naaa aro update version hoice onek cute lagse khala,Yes,Others
1494, amr y lojja lage r tor?,Yes,Others
1495,A maiya da gece pura e pagol hoiya,Yes,Others
1496,hogay eto current magir,Yes,Sexual
1497,eshob koira ki moja pay,No,Not Hate
1498,Loti marka kisu kisu maye ar jonno sub maye opoman hoy,Yes,Others
1499,Lungi khola thakle bhalo hoto,Yes,Sexual
1500,Magiire lunge te lagtasa kemon,Yes,Appearance
1501,"Onk khela dekhaico r valooo Lage na Rong dhong, shami thakte bidubar bes vlo baro vatari",Yes,Sexual
1502,First to mia malkova vabselam,Yes,Sexual
1503,Dor sotmarani...,Yes,Slang
1504,Khub sundr bt amr gf er moto ato cute na,No,Not Hate
1505,"Ato osovon kapor kemne pore manush nijer meyetar kotha aktuo ki vhabsen r amaro baccha ase apni ja korben bacchara tai sikbe r modern howa kapor kholake bolena puro kapor poreo modern hoa jai 
",Yes,Appearance
1506,Mithila tmi manusher kache ki chila ar ki hoye gecho! Tomar ki ruchite badhe na? Chi! Vabtei kharap lage ak somoy tomar vokto chilam,Yes,Others
1507,Akta meye koto ta lojja hin hole nijer amon amon pic fb te upload korte pare ta apnade na dekhle bujhtam na..... ,Yes,Appearance
1508,"Apu apni manusher dristivongi bodlate parben na, soo nijk bodlan, nije jevabe issa sajuguju kren, but amn kisu public kn kren, jate manus negative hoye jai, dos always sadharon manusher thake na , tader k kharap howar sujog ta to apnar motoi manus kre dice #don't Take this Personally , Cz KthaTa Shobar Uddeshei Bollam",No,Not Hate
1509,Nice r misti meyetar ki holo emon?? Keno ei uchhonnota....ples r na onek hoyese.ples fire eso ager sei modurotay...,No,Not Hate
1510,Mithila apu nijek nije respect korte sheken aGe. Tar pore onner respect asa korben. Apni akjon actor nijer ki kno personality nay...? Apnar coto boro vi bonera ja comment korce akto pore deken . Nijer por nijei girna hobe apnar.vul kicu bolle sry,Yes,Others
1511,Apner pic deke amdr enam shoinikr jobon ongo nara die utse.....,Yes,Sexual
1512,Tmr brah koi shundri,Yes,Sexual
1513,Timake 8 minute lagate caoa amar dhon,Yes,Sexual
1514,"Aysob pic upload diyee amdar somaj ta nosto kortachos taynaa ,,, upor a vodro saje r vator a kulangar tora",Yes,Others
1515,ei shauwa marka pic deikha duibar haat marsi r mithila re onuvob korsi,Yes,Sexual
1516,Ahare jibon annoddo das tomi koi... Tomar name barabatari micha kotha koi,Yes,Sexual
1517,Amr kase apnar kiso video ase.amk friend request na pathile viral koira dimo,Yes,Others
1518,dhakar ta dekhar por middle stamp khara hoia gese,Yes,Sexual
1519,Ki jonno Manus ai baccha gular jibon nosto kore,No,Not Hate
1520,Jayed re to hijla mone hoi,Yes,Appearance
1521,"muslimra naki samprodayik, tahole esob mutro sebon kari ki?",Yes,Religious
1522,Dui number tar dud soto,Yes,Sexual
1523,Gud vije jabe jeneo gud a felar nam gud mara,Yes,Sexual
1524,Dudh ummmmmahhh,Yes,Sexual
1525,Omg dud gola to sei akto diba,Yes,Sexual
1526,Avabe paile dud tipe lal kore cudbo,Yes,Sexual
1527,Dudh gula ufff,Yes,Sexual
1528,Akdom baje ......khub attitude madem,No,Not Hate
1529,Tomar neshai matal hoia gelam to,No,Not Hate
1530,Tomar ta dekheo tomar deor narabe tomar bor kichu korte parbe ja korar deor e kore debe,Yes,Sexual
1531,magir polara ki shb natok banay,Yes,Slang
1532,Mia khalifar moto lagtase,Yes,Sexual
1533,Malala ekta madarchod,Yes,Others
1534,Bra ase bolei jhule thaka kodu gulo sundor ase,Yes,Sexual
1535,"Ki jhulba?..kissu jhulba na...Borong opekkha korte korte tomar ""bichi "" jhule jaba",Yes,Sexual
1536,Mam apnar gachar lau daban akta ami khub balo kai lau,Yes,Sexual
1537,Ato kichu ache jokhon bihari der moton chul a rong o kore ja,Yes,Appearance
1538,Ai vuda ra je kotha theky ashe,Yes,Others
1539,Sei Sob Cheleder Jonnoi to Tomader Moto 12 Bhatari Ra Ache ,Yes,Sexual
1540,Sokal theika 10 bar dekhsi 10 bar e janowarer Moto haschi,Yes,Others
1541,ekdom original khankirput,Yes,Slang
1542,"sudhu nighty pore na, dud dekhiye femous hoye jay",Yes,Sexual
1543,Proshab diye korte paro . Seat garom o hoi ,Yes,Sexual
1544,Mittha kotha bal ami akhono bou paini,No,Not Hate
1545,Aj obdhi aktao duduu tipte na para ami,Yes,Sexual
1546,R chala Dr lomba mota don daka jiva asa jhol,Yes,Sexual
1547,Ar cheleder boro dhon dekle meyera o pote jay,Yes,Sexual
1548,Ekhon mukhe noi futoi newar din go,Yes,Sexual
1549,"Madam ke e thapate hbe, bantu",Yes,Sexual
1550,Ota apni bujhben na apnar age kom,No,Not Hate
1551,peti coat khule dileo to paro,Yes,Sexual
1552,tmr seal fatabo inbox e asho,Yes,Sexual
1553,Tomar o eicha kora oi 7 inch mal ta nita,Yes,Sexual
1554,Ami tmr face ta live a dkhte chai k mohan manusti apni j sbsmy laga lagir kotha likhe post koren,Yes,Others
1555,Valobashar opor name hosse laganno,Yes,Sexual
1556,tui holi baje meye ekta sex er kotha chara others katha vabis na..,Yes,Sexual
1557,Ei sab baler jokes ke dite bole roj,Yes,Others
1558,Hogar put biyer por tor nunu ei kaj korbo na,Yes,Sexual
1559,"Mukh er choshma , naki book er choshma ",Yes,Sexual
1560,Dddda kosto hocche buker maje,No,Not Hate
1561,gf thakla tipa kata hoba,Yes,Sexual
1562,amie tw roj gud marie,Yes,Sexual
1563,Na mane amar bujte aktu problem hocche priyo,No,Not Hate
1564,Biyer ager ta onek agei hoye giyechy...baki porer ta..,Yes,Sexual
1565,Practice thaka vlo na hla machine rust porbay ,No,Not Hate
1566,Ghu gu dekhecho ghu gur fad dekhoni,No,Not Hate
1567,boudi der ja govir khad,Yes,Sexual
1568,kochi hole malai ta khey moja,Yes,Sexual
1569,Kochi jinise risk beshi,Yes,Sexual
1570,Hm.kochi dab khete valo.sathe pabe sash.korbe hridoy elomelo,Yes,Sexual
1571,boudi r boro lau r tmr choto lau,Yes,Sexual
1572,Tomaka to aj habby lagcha chumu khata echa korcha,Yes,Sexual
1573,Ekdin hole o tomake chudbo,Yes,Sexual
1574,Tomaka saree ta basi valo laga didi,No,Not Hate
1575,Kal thle cholo dada boudi r Biriyani khewe asi,No,Not Hate
1576,S*X change Kore nin tahole gf r boudi r difference bujhty parben,Yes,Sexual
1577,"ohh tai naki, tomar biral tar sathe khelte debe",Yes,Sexual
1578,tomar sathe khelbo janu,Yes,Sexual
1579,Boudi pod nachay,Yes,Sexual
1580,putki maro tapatop sitkale murir sathe alur chop,Yes,Sexual
1581,Amon o Boudi ache Boudi kapay r dada haphay,Yes,Sexual
1582,cholo lagai,Yes,Sexual
1583,nijer jinis tao onno karor kotha vebe daraye,Yes,Sexual
1584,Etai toh meyeder jonno daray seta sab chelera jane,Yes,Sexual
1585,baby tumi aysa amar ta dar koriye daw,Yes,Sexual
1586,Bhul....nunu o majhe majhe beimani kore.....tachara nunu eka darai na....ok daar korate hoi...tarjonne dudu...khaj....sexy hot figure dorkar hoi....,Yes,Sexual
1587,Sob somai salar don dariye thake,Yes,Sexual
1588,oh tar mane tomar 2minute a pore giechilo?,Yes,Sexual
1589,"knife k dhar na dile jeh jung dhore jabe.. takhon r kono kaj a asbe na.. tai jung poriskar korte gele ektu jol, ektu kali toh thakbei.. nahole poriskar ki kore hobe",Yes,Sexual
1590,"seta toh nirvor kore jeh, kali diye kothay paint kora hochchee.. vetore...?
Na baire...?",Yes,Sexual
1591,Uff ki hot Inbox aso plzz,Yes,Sexual
1592,Doi ber korar somoy tumi okhane ki korcila vabbar bisoy kintu ,Yes,Sexual
1593,Amar minimum 30 minutes lage ber hote..,Yes,Sexual
1594,Nunu jakhon norom tahole Kano koro biye...koro sorom..,Yes,Sexual
1595,oi futo rekhe ki lav jate sudhu begun e duke,Yes,Sexual
1596,Sei pussy rekhe ki lav Jeta sudhu hisur kaje lage,Yes,Sexual
1597,Ata miththe bolcho...sudhu nunu diye moto naa...ar jokhon bathroom a giye...handel....maro tokhon to onno kichu beroi taii naa.,Yes,Sexual
1598,cholo ami r tumi biye kore feli tar por khela hobe,Yes,Sexual
1599,Ar amr Bow er Ordek JibOn Par HoiYa JaibO Ata Bolte bolte Je aske Ar nah,Yes,Sexual
1600,aso amar chodar speed dekhabo tomake,Yes,Sexual
1601,"Chele der o choto, vai boyoser sathe sathe boro hoy",Yes,Sexual
1602,ekhn nishchoi kheye chere diseNoyto chere dibe keno na already onk boro r dhila hoye gese r chele ra eshob tait chay,Yes,Sexual
1603,By chance kamre dila ki hoba boloto,Yes,Sexual
1604,Ah sonago amar kosto hossa,Yes,Sexual
1605,dakte mone hoii akdom shohoj shorol but akta bitch,Yes,Sexual
1606,Garta dekhte Pelam na angul to dur er katha,Yes,Sexual
1607,Ami bisri meye tomar jonno dua korbo tumi tAratri tomar jibinsknghi pewe jbe,Yes,Appearance
1608,lojja laga dorkar darun lijjar baper,No,Not Hate
1609,Jar joto boro tar toto gulo bf hoy Bf na thakla size boro holo ki kora,Yes,Sexual
1610,class six ar nibbi der o akhno dab ar moton size hy,Yes,Sexual
1611,Bhai dekhe sune fhete na jai,Yes,Sexual
1612,Chi chi ora etto khacor,Yes,Others
1613,salar kbe je amon kore enjoy korbo,No,Not Hate
1614,purai viral magi,Yes,Sexual
1615,ahhh kaj hoice... amar hoye gelo,No,Not Hate
1616, basi baal paknami korle amon e hoyaa,Yes,Others
1617,tui beta valo ho onk somoy dichi valo ho naila biyar por bow ra amr kacha dita hoibi,Yes,Sexual
1618,Dhon ta kape utlo,Yes,Sexual
1619,Akta paila .. hoto ... Onak moja hoto ,No,Not Hate
1620,18-19 bochor er meyeder dudh khete vlo lage tahole,Yes,Sexual
1621,Timi Ki Jinis mairi,No,Not Hate
1622,Tomer dhon ta o to kalo kuchkuche,Yes,Sexual
1623,Tmr dhon ki gora naki,Yes,Sexual
1624,tmr ta ohh to khub boro sei din ke deklam,Yes,Sexual
1625,inbox e tor boner golpo sonabi,Yes,Sexual
1626,Tomar acha guda bal,Yes,Sexual
1627,Nai vai kono kono ta balck and white o hoy,No,Not Hate
1628,na go boudi sudu mon chay,Yes,Others
1629,Ke na korece barao jodi chele hou tel lagao r jodi meye hou amar dike takao,Yes,Sexual
1630,Tumi khati sorisar tel diya Khali tanba Kam hoiya jaibo,Yes,Sexual
1631,Vai shudhu hate na oteo betha hoy,Yes,Sexual
1632,Roj 3 bar kore hate betha hoi,Yes,Sexual
1633,Amr Biral Nai Tai Doi Khawar Lok O Nai,Yes,Sexual
1634,Chulkani marka kotha,Yes,Others
1635,500 taka r jonno jaina..... Ami toke 5000 hajar dichi dm.... Tui fot.,No,Not Hate
1636,apni lagate den naki ??,Yes,Sexual
1637,Handle marleo sobai roga hoyna,Yes,Sexual
1638,Eto boro je blause aeo thakche na,Yes,Sexual
1639,Dud toh fete beriye jache go,Yes,Sexual
1640,Mai koto din tight thake ??? tmr bou er mai gulo ki ekhono tight ache ??? pic diye dekhaw plz ,Yes,Sexual
1641,Konkhan theke he suru korbo khuje pachhi na,No,Not Hate
1642,Ouufff hot... Ki darun navi... Chustay chattay darun lagbay...Navi tay mal feltay hobay,Yes,Sexual
1643,Aivabe dariye theko na keo saree uthiye mere chole jabe,Yes,Sexual
1644,Hai re ....pod ....10 mnt chat ..tar-por chod,Yes,Sexual
1645,ooofffff rosa vora sorir ..pala chata chata khatam,Yes,Sexual
1646,Paray emon ekta boudi thakle dewor der khub upokar hoy,Yes,Sexual
1647,Quite lagcha tomay inboxa sms karo tumi amake pliz messenger ra,No,Not Hate
1648,Chudte chudte ses kore debo,Yes,Sexual
1649,Dud na gud dhakho,Yes,Sexual
1650,Uuufffff ki darun mai,Yes,Sexual
1651,Ki sexy komor tomar umma,Yes,Sexual
1652,Uff...chorom hot figure tomar...boudi!!!,Yes,Sexual
1653,Tomar mut khub testy hobe,Yes,Sexual
1654,Uff boudi ki lagchey dudu to noy onno kichu jodi peytam ekbar,Yes,Sexual
1655,"Bangali hochhe copy master, Anner culture copy korte khuv expert, so for Dhantaras or Diwali absolutely North Indian culture....",Yes,Racial
1656,Buke aaso ektu ador kore nebo,Yes,Sexual
1657,Tmr dud gulo du hate kore chotka,Yes,Sexual
1658,inbox aso na ektu kotha ache boudi,No,Not Hate
1659,Pachata darun lagcha.,Yes,Sexual
1660,"Darun lagcha , joriya dhorta icha korcha",Yes,Sexual
1661,khub sundor lagche friendship korbe inbox a asbe,No,Not Hate
1662,Hol lagche bboudi but real pele bhlao hoto go,Yes,Sexual
1663,tumi inbox e reply daona kno? Bondhu hote chao?,No,Not Hate
1664,Mal out korte eiche korche Tmr duder vaje,Yes,Sexual
1665,"Khub sundar,, tomar ki massenger nay",No,Not Hate
1666,Kotha blo ato dure kno kache eso,Yes,Sexual
1667,Ato taka dela a rekom hobe..,No,Not Hate
1668,Ipl a mota taka pai salara...,Yes,Others
1669,Captain r coach k na sarale amader cricket team r unnati konodin hbe na,Yes,Others
1670,Tomake khub kache pete ichha korche,Yes,Sexual
1671,Akta kiss korbo tomar Navi te,Yes,Sexual
1672,Uffffffff dekhei bara dariye gelo,Yes,Sexual
1673,Dudh gulo khub sundor,Yes,Sexual
1674,"Ki peti mairi , ekebare makhon",Yes,Sexual
1675,dekhei toh pore jabe goo,Yes,Sexual
1676,"Cholo ektu ghure asa jak
",No,Not Hate
1677,MOUSUMI DARLING TUMI OTO SEXY DEKTE HOLE KENO,Yes,Sexual
1678,Ummmmmmmmmm dui paa er majhe orokom fule thakle ki r mon ke bendhe rakha jai?,Yes,Sexual
1679,Uffffffffffffff tomar figure dekhei choto sona lafachhe,Yes,Sexual
1680,Bara te agun lege geche amr Tmr size deke,Yes,Sexual
1681,Ath boro dudu samlao ki kore,Yes,Sexual
1682,dud ta goo ...koto size goo,Yes,Sexual
1683,Dud gulor size kto go,Yes,Sexual
1684,Sooo sweet. Navita dhaka jeto,Yes,Sexual
1685,Oooo boudi parchi na,Yes,Sexual
1686,Ktha ta ek2 sono amr plz doya kore,No,Not Hate
1687,Tmr sathe amr ek2 urgent ktha chilo,No,Not Hate
1688,kokhon chudbe,Yes,Sexual
1689,Ufff ki agun Tomk dakha pagol hoya galm,Yes,Sexual
1690,Wow khub sundar lagche tomake,No,Not Hate
1691,sudhu ki dekhiyei jabe boudi,Yes,Sexual
1692,aka daklai soja hoea jai bara ta,Yes,Sexual
1693,So beautiful sokal sokal bara khara hoye galo,Yes,Sexual
1694,Nude pics dao esob diye ki hobe kintu tomarta dio,Yes,Sexual
1695,Apnake khub sundor dekhte didi,No,Not Hate
1696,Uff darun jhajalo sundori tumi,Yes,Sexual
1697,Samne nebe na pichone nebe,Yes,Sexual
1698,Ekhono jothesto agun dhoriye debe sobar mone,Yes,Sexual
1699,Lolipop ta beshi nei.. ota kom kori,No,Not Hate
1700,Sosur barir lok manleo tmr bor manbe na,No,Not Hate
1701,jodi na mane tahole sosur ke 2-4 bar lagate dabe .,Yes,Sexual
1702,Meye tmr godown e amer mall rakhte debe,Yes,Sexual
1703,"Bujhate chai je eta Dekhiyachhi, nicher tao dekhabo",Yes,Sexual
1704,bha khub vlo to Kate korar moja alada,No,Not Hate
1705,Post admin bodh hoy lagate khub valobase Ahaa ree sb eki rokom post,No,Not Hate
1706,gym kore six pack banale bhlo mey pabe chelera.. nale tr moto bicchiri jutbe,Yes,Appearance
1707,ato haso kn boudi ..tumi ki tai koro,No,Not Hate
1708,Lollipop size doesn’t matter Duration valo hoile holo,Yes,Sexual
1709,tmr biral take ador korte debe.?,Yes,Sexual
1710,ki re tore to dekhi bangal kotha kos,Yes,Racial
1711,Pant khula thathapa,Yes,Sexual
1712,roj lagale more jabe...rate ghum o hbena,Yes,Sexual
1713,tmra chutiya chadpuira go theika vlo asi,Yes,Racial
1714,Bhaii Er leigai tmra Noakhailla! Prove tmi e dila cmnt gula koira,Yes,Racial
1715,chesramir dik theke noakhailla der sthe karo tulona hoi nah bruh,Yes,Racial
1716,r8 Noalhailla re onek kharp hoi ,Yes,Racial
